 lorenz attractor:
 -8.421327591 -8.701065063 26.546804428
 -8.428320885 -8.709906578 26.553012848
 -8.435360909 -8.718621254 26.559516907
 -8.442441940 -8.727202415 26.566314697
 -8.449561119 -8.735644341 26.573402405
 -8.456712723 -8.743940353 26.580778122
 -8.463893890 -8.752085686 26.588436127
 -8.471098900 -8.760073662 26.596372604
 -8.478322983 -8.767899513 26.604581833
 -8.485562325 -8.775556564 26.613059998
 -8.492812157 -8.783040047 26.621803284
 -8.500067711 -8.790344238 26.630805969
 -8.507324219 -8.797464371 26.640064240
 -8.514577866 -8.804394722 26.649570465
 -8.521822929 -8.811129570 26.659320831
 -8.529055595 -8.817664146 26.669309616
 -8.536271095 -8.823993683 26.679529190
 -8.543463707 -8.830113411 26.689975739
 -8.550629616 -8.836018562 26.700641632
 -8.557764053 -8.841704369 26.711521149
 -8.564862251 -8.847166061 26.722606659
 -8.571919441 -8.852399826 26.733892441
 -8.578931808 -8.857400894 26.745370865
 -8.585893631 -8.862165451 26.757036209
 -8.592800140 -8.866689682 26.768880844
 -8.599647522 -8.870969772 26.780895233
 -8.606431007 -8.875001907 26.793073654
 -8.613144875 -8.878782272 26.805408478
 -8.619786263 -8.882308006 26.817892075
 -8.626349449 -8.885576248 26.830514908
 -8.632829666 -8.888583183 26.843269348
 -8.639223099 -8.891325951 26.856147766
 -8.645525932 -8.893802643 26.869142532
 -8.651732445 -8.896010399 26.882244110
 -8.657839775 -8.897946358 26.895442963
 -8.663842201 -8.899609566 26.908733368
 -8.669736862 -8.900997162 26.922103882
 -8.675518036 -8.902107239 26.935546875
 -8.681182861 -8.902938843 26.949052811
 -8.686726570 -8.903490067 26.962612152
 -8.692145348 -8.903759956 26.976217270
 -8.697435379 -8.903747559 26.989858627
 -8.702592850 -8.903451920 27.003524780
 -8.707613945 -8.902873039 27.017210007
 -8.712495804 -8.902009964 27.030902863
 -8.717233658 -8.900862694 27.044593811
 -8.721824646 -8.899432182 27.058273315
 -8.726264954 -8.897717476 27.071933746
 -8.730551720 -8.895719528 27.085563660
 -8.734681129 -8.893439293 27.099155426
 -8.738650322 -8.890876770 27.112697601
 -8.742456436 -8.888033867 27.126182556
 -8.746095657 -8.884912491 27.139598846
 -8.749566078 -8.881512642 27.152938843
 -8.752864838 -8.877837181 27.166193008
 -8.755989075 -8.873888016 27.179351807
 -8.758936882 -8.869667053 27.192405701
 -8.761705399 -8.865177155 27.205345154
 -8.764291763 -8.860420227 27.218160629
 -8.766695023 -8.855400085 27.230844498
 -8.768912315 -8.850118637 27.243387222
 -8.770942688 -8.844579697 27.255779266
 -8.772783279 -8.838787079 27.268013000
 -8.774433136 -8.832743645 27.280078888
 -8.775891304 -8.826454163 27.291967392
 -8.777154922 -8.819922447 27.303670883
 -8.778223991 -8.813152313 27.315181732
 -8.779097557 -8.806148529 27.326490402
 -8.779773712 -8.798914909 27.337589264
 -8.780252457 -8.791457176 27.348470688
 -8.780532837 -8.783780098 27.359125137
 -8.780613899 -8.775888443 27.369546890
 -8.780495644 -8.767787933 27.379728317
 -8.780178070 -8.759484291 27.389659882
 -8.779661179 -8.750983238 27.399335861
 -8.778944016 -8.742289543 27.408750534
 -8.778027534 -8.733409882 27.417896271
 -8.776911736 -8.724350929 27.426765442
 -8.775597572 -8.715118408 27.435352325
 -8.774085999 -8.705718040 27.443651199
 -8.772377014 -8.696157455 27.451654434
 -8.770471573 -8.686442375 27.459358215
 -8.768370628 -8.676580429 27.466756821
 -8.766076088 -8.666578293 27.473844528
 -8.763588905 -8.656442642 27.480615616
 -8.760910034 -8.646181107 27.487064362
 -8.758041382 -8.635800362 27.493188858
 -8.754985809 -8.625307083 27.498983383
 -8.751744270 -8.614709854 27.504442215
 -8.748318672 -8.604015350 27.509563446
 -8.744710922 -8.593231201 27.514343262
 -8.740923882 -8.582365036 27.518777847
 -8.736959457 -8.571424484 27.522863388
 -8.732821465 -8.560418129 27.526597977
 -8.728511810 -8.549352646 27.529979706
 -8.724032402 -8.538235664 27.533004761
 -8.719387054 -8.527074814 27.535671234
 -8.714579582 -8.515878677 27.537977219
 -8.709611893 -8.504654884 27.539920807
 -8.704487801 -8.493411064 27.541501999
 -8.699211121 -8.482154846 27.542718887
 -8.693784714 -8.470894814 27.543571472
 -8.688212395 -8.459637642 27.544057846
 -8.682497978 -8.448391914 27.544178009
 -8.676645279 -8.437165260 27.543933868
 -8.670658112 -8.425965309 27.543323517
 -8.664541245 -8.414799690 27.542348862
 -8.658297539 -8.403676033 27.541009903
 -8.651931763 -8.392601967 27.539306641
 -8.645448685 -8.381585121 27.537240982
 -8.638852119 -8.370633125 27.534814835
 -8.632146835 -8.359753609 27.532030106
 -8.625336647 -8.348953247 27.528890610
 -8.618427277 -8.338239670 27.525396347
 -8.611422539 -8.327619553 27.521549225
 -8.604327202 -8.317100525 27.517353058
 -8.597146988 -8.306690216 27.512811661
 -8.589885712 -8.296394348 27.507926941
 -8.582548141 -8.286220551 27.502702713
 -8.575139999 -8.276175499 27.497142792
 -8.567666054 -8.266264915 27.491250992
 -8.560131073 -8.256496429 27.485033035
 -8.552539825 -8.246875763 27.478490829
 -8.544898033 -8.237409592 27.471630096
