 lorenz attractor:
 -8.748318672 -8.604015350 27.50956345
 -8.744710922 -8.593231201 27.51434326
 -8.740923882 -8.582365036 27.51877785
 -8.736959457 -8.571424484 27.52286339
 -8.732821465 -8.560418129 27.52659798
 -8.728511810 -8.549352646 27.52997971
 -8.724032402 -8.538235664 27.53300476
 -8.719387054 -8.527074814 27.53567123
 -8.714579582 -8.515878677 27.53797722
 -8.709611893 -8.504654884 27.53992081
 -8.704487801 -8.493411064 27.54150200
 -8.699211121 -8.482154846 27.54271889
 -8.693784714 -8.470894814 27.54357147
 -8.688212395 -8.459637642 27.54405785
 -8.682497978 -8.448391914 27.54417801
 -8.676645279 -8.437165260 27.54393387
 -8.670658112 -8.425965309 27.54332352
 -8.664541245 -8.414799690 27.54234886
 -8.658297539 -8.403676033 27.54100990
 -8.651931763 -8.392601967 27.53930664
 -8.645448685 -8.381585121 27.53724098
 -8.638852119 -8.370633125 27.53481483
 -8.632146835 -8.359753609 27.53203011
 -8.625336647 -8.348953247 27.52889061
 -8.618427277 -8.338239670 27.52539635
 -8.611422539 -8.327619553 27.52154922
 -8.604327202 -8.317100525 27.51735306
 -8.597146988 -8.306690216 27.51281166
 -8.589885712 -8.296394348 27.50792694
 -8.582548141 -8.286220551 27.50270271
 -8.575139999 -8.276175499 27.49714279
 -8.567666054 -8.266264915 27.49125099
 -8.560131073 -8.256496429 27.48503304
